topic,term,prob
topic 4,recreational,0.009589992299673685
topic 4,community,0.009533519768219546
topic 4,marine,0.007528303817841122
topic 4,service,0.007243410999891205
topic 4,system,0.007155543025404971
topic 4,economic,0.006540896923241593
topic 4,local,0.006457257169121932
topic 4,study,0.006310485290231695
topic 4,specie,0.006268612778622836
topic 4,scale,0.006236788455184556
topic 4,provide,0.006065308986553387
topic 5,model,0.027181263765416443
topic 5,system,0.023626528458570183
topic 5,ecological,0.015196345604922026
topic 5,social,0.013536236530462951
topic 5,ecosystem,0.012643099657645318
topic 5,management,0.011321815045505671
topic 5,scenario,0.010141960944473085
topic 5,dynamic,0.008914890609999327
topic 5,base,0.007993889374149415
topic 5,human,0.007799887398047045
topic 5,change,0.0072146284435187355
topic 5,decision,0.006321622465012526
topic 5,biodiversity,0.006014620544153984
topic 5,resource,0.00593847456985877
topic 5,result,0.005395099810220892
topic 5,stakeholder,0.005311470895913585
topic 5,spatial,0.005162214820928853
topic 5,impact,0.0050917471414373945
topic 5,approach,0.005071524265239908
topic 5,modeling,0.004997424353933302
topic 6,change,0.046194160545597364
topic 6,climate,0.025304346278566453
topic 6,social,0.02515495285470437
topic 6,system,0.024747973478288166
topic 6,ecological,0.02394554524014892
topic 6,scale,0.013882796446475294
topic 6,adaptation,0.012327180944447489
topic 6,adaptive,0.010090522743435002
topic 6,vulnerability,0.009437817093395034
topic 6,resilience,0.009386334179761003
topic 6,impact,0.007999409634670602
topic 6,environmental,0.007847616653034935
topic 6,local,0.007584642450485694
topic 6,capacity,0.007242267621246035
topic 6,driver,0.006858640625032483
topic 6,management,0.006531488062566069
topic 6,reef,0.00586930884046465
topic 6,ecosystem,0.005846110285987371
topic 6,resource,0.00578966693261101
topic 6,dynamic,0.005446397859423542
topic 7,water,0.028808988517804744
topic 7,management,0.027092511024684515
topic 7,system,0.019245049514457796
topic 7,social,0.01917645026299446
topic 7,resilience,0.017825451545406778
topic 7,ecosystem,0.015919588499757668
topic 7,ecological,0.014887747639926792
topic 7,adaptive,0.011436671369323453
topic 7,resource,0.01137895108484139
topic 7,approach,0.010523891686863377
topic 7,service,0.009297124645339392
topic 7,governance,0.008402742162021902
topic 7,change,0.008000648652488665
topic 7,environmental,0.007175681280269959
topic 7,process,0.006854580459384532
topic 7,decision,0.006629655007005082
topic 7,framework,0.006586276860096789
topic 7,development,0.0055664574756812656
topic 7,provide,0.005395651866140579
topic 7,practice,0.005255645673537823
topic 8,forest,0.021844983696387606
topic 8,ses,0.02184220918795159
topic 8,ecological,0.020101603808758316
topic 8,system,0.018844321875280873
topic 8,social,0.01846086769670963
topic 8,framework,0.014781665898340785
topic 8,management,0.013682608142035408
topic 8,study,0.011999865768289602
topic 8,approach,0.010902593328032012
topic 8,analysis,0.008592286951520516
topic 8,identify,0.008313193765030919
topic 8,research,0.0082252795076812
topic 8,variable,0.0076131379345283955
topic 8,interaction,0.00673010470654095
topic 8,impact,0.0060109633018058314
topic 8,method,0.005510377179706786
topic 8,base,0.0054882433963497085
topic 8,resource,0.005418436085128293
topic 8,dynamic,0.005370504938659871
topic 8,knowledge,0.004954929878012512
topic 9,landscape,0.023486347217294447
topic 9,forest,0.021772667191852325
topic 9,ecological,0.015614858800608995
topic 9,social,0.015092740913481886
topic 9,urban,0.012649267365058411
topic 9,system,0.012278830152394404
topic 9,tree,0.0110080889859835
topic 9,land,0.009775849594820715
topic 9,fire,0.009464427595285816
topic 9,ecosystem,0.009425041714655236
topic 9,study,0.009190369751400607
topic 9,human,0.008709812925843807
topic 9,cultural,0.008212043838110474
topic 9,traditional,0.007313076855348098
topic 9,service,0.0069980723195807865
topic 9,management,0.006672712376812011
topic 9,knowledge,0.006587642064135301
topic 9,change,0.006294649449477288
topic 9,local,0.005417971128689671
topic 9,conservation,0.005261181814253969
