doc_id,sentence_id,token_id,token,lemma,pos,entity
text1,5,13,sub,sub,NOUN,
text1,5,14,-,-,NOUN,
text1,5,15,system,system,NOUN,
text1,5,16,to,to,ADP,
text1,5,17,the,the,DET,
text1,5,18,social,social,ADJ,
text1,5,19,-,-,PUNCT,
text1,5,20,ecological,ecological,ADJ,
text1,5,21,systems,system,NOUN,
text1,5,22,framework,framework,NOUN,
text1,5,23,",",",",PUNCT,
text1,5,24,ecological,ecological,ADJ,
text1,5,25,rules,rule,NOUN,
text1,5,26,",",",",PUNCT,
text1,5,27,which,which,PRON,
text1,5,28,would,would,AUX,
text1,5,29,allow,allow,VERB,
text1,5,30,scholars,scholar,NOUN,
text1,5,31,to,to,PART,
text1,5,32,explicitly,explicitly,ADV,
text1,5,33,incorporate,incorporate,VERB,
text1,5,34,knowledge,knowledge,NOUN,
text1,5,35,from,from,ADP,
text1,5,36,the,the,DET,
text1,5,37,natural,natural,ADJ,
text1,5,38,sciences,science,NOUN,
text1,5,39,for,for,ADP,
text1,5,40,deductive,deductive,ADJ,
text1,5,41,reasoning,reasoning,NOUN,
text1,5,42,.,.,PUNCT,
text1,6,1,The,the,DET,
text1,6,2,paper,paper,NOUN,
text1,6,3,shows,show,VERB,
text1,6,4,",",",",PUNCT,
text1,6,5,through,through,ADP,
text1,6,6,an,an,DET,
text1,6,7,instructive,instructive,ADJ,
text1,6,8,case,case,NOUN,
text1,6,9,study,study,NOUN,
text1,6,10,",",",",PUNCT,
text1,6,11,how,how,SCONJ,
text1,6,12,the,the,DET,
text1,6,13,addition,addition,NOUN,
text1,6,14,of,of,ADP,
text1,6,15,ecological,ecological,ADJ,
text1,6,16,rules,rule,NOUN,
text1,6,17,can,can,AUX,
text1,6,18,provide,provide,VERB,
text1,6,19,a,a,DET,
text1,6,20,more,more,ADV,
text1,6,21,nuanced,nuance,VERB,
text1,6,22,description,description,NOUN,
text1,6,23,of,of,ADP,
text1,6,24,the,the,DET,
text1,6,25,factors,factor,NOUN,
text1,6,26,that,that,PRON,
text1,6,27,contribute,contribute,VERB,
text1,6,28,to,to,ADP,
text1,6,29,outcomes,outcome,NOUN,
text1,6,30,in,in,ADP,
text1,6,31,social,social,ADJ,
text1,6,32,-,-,PUNCT,
text1,6,33,ecological,ecological,ADJ,
text1,6,34,systems,system,NOUN,
text1,6,35,.,.,PUNCT,
text2,1,1,The,the,DET,
text2,1,2,literature,literature,NOUN,
text2,1,3,on,on,ADP,
text2,1,4,institutional,institutional,ADJ,
text2,1,5,fit,fit,NOUN,
text2,1,6,is,be,AUX,
text2,1,7,developing,develop,VERB,
text2,1,8,rapidly,rapidly,ADV,
text2,1,9,within,within,ADP,
text2,1,10,the,the,DET,
text2,1,11,broader,broad,ADJ,
text2,1,12,discourse,discourse,NOUN,
text2,1,13,on,on,ADP,
text2,1,14,sustainability,sustainability,NOUN,
text2,1,15,which,which,PRON,
text2,1,16,has,have,AUX,
text2,1,17,resulted,result,VERB,
text2,1,18,in,in,ADP,
text2,1,19,a,a,DET,
text2,1,20,diverse,diverse,NOUN,
text2,1,21,",",",",PUNCT,
text2,1,22,but,but,CCONJ,
text2,1,23,sometimes,sometimes,ADV,
text2,1,24,inconsistent,inconsistent,ADJ,
text2,1,25,program,program,NOUN,
text2,1,26,of,of,ADP,
text2,1,27,research,research,NOUN,
text2,1,28,.,.,PUNCT,
text2,2,1,Therefore,therefore,ADV,
text2,2,2,we,we,PRON,
text2,2,3,review,review,VERB,
text2,2,4,the,the,DET,
text2,2,5,recent,recent,ADJ,
text2,2,6,literature,literature,NOUN,
text2,2,7,on,on,ADP,
text2,2,8,the,the,DET,
text2,2,9,fit,fit,NOUN,
text2,2,10,between,between,ADP,
text2,2,11,institutions,institution,NOUN,
text2,2,12,and,and,CCONJ,
text2,2,13,social,social,ADJ,
text2,2,14,-,-,PUNCT,
text2,2,15,ecological,ecological,ADJ,
text2,2,16,systems,system,NOUN,
text2,2,17,to,to,PART,
text2,2,18,identify,identify,VERB,
text2,2,19,three,three,NUM,CARDINAL_B
text2,2,20,general,general,ADJ,
text2,2,21,types,type,NOUN,
text2,2,22,of,of,ADP,
text2,2,23,fit,fit,NOUN,
text2,2,24,:,:,PUNCT,
text2,2,25,namely,namely,ADV,
text2,2,26,",",",",PUNCT,
text2,2,27,ecological,ecological,ADJ,
text2,2,28,fit,fit,NOUN,
text2,2,29,",",",",PUNCT,
text2,2,30,social,social,ADJ,
text2,2,31,fit,fit,ADJ,
text2,2,32,and,and,CCONJ,
text2,2,33,social,social,ADJ,
text2,2,34,-,-,PUNCT,
text2,2,35,ecological,ecological,ADJ,
text2,2,36,system,system,NOUN,
text2,2,37,fit,fit,NOUN,
text2,2,38,.,.,PUNCT,
text2,3,1,Each,each,PRON,
text2,3,2,of,of,ADP,
text2,3,3,these,these,PRON,
text2,3,4,draws,draw,VERB,
text2,3,5,attention,attention,NOUN,
text2,3,6,to,to,ADP,
text2,3,7,different,different,ADJ,
text2,3,8,dimensions,dimension,NOUN,
text2,3,9,of,of,ADP,
text2,3,10,social,social,ADJ,
text2,3,11,-,-,PUNCT,
text2,3,12,ecological,ecological,ADJ,
text2,3,13,systems,system,NOUN,
text2,3,14,",",",",PUNCT,
text2,3,15,with,with,ADP,
text2,3,16,their,their,PRON,
text2,3,17,own,own,ADJ,
text2,3,18,unique,unique,ADJ,
text2,3,19,set,set,NOUN,
text2,3,20,of,of,ADP,
text2,3,21,evaluative,evaluative,ADJ,
text2,3,22,criteria,criterion,NOUN,
text2,3,23,.,.,PUNCT,
text2,4,1,Although,although,SCONJ,
text2,4,2,diversity,diversity,NOUN,
text2,4,3,is,be,AUX,
text2,4,4,generally,generally,ADV,
text2,4,5,beneficial,beneficial,ADJ,
text2,4,6,for,for,ADP,
text2,4,7,the,the,DET,
text2,4,8,production,production,NOUN,
text2,4,9,of,of,ADP,
text2,4,10,knowledge,knowledge,NOUN,
text2,4,11,",",",",PUNCT,
text2,4,12,it,it,PRON,
text2,4,13,can,can,AUX,
text2,4,14,also,also,ADV,
text2,4,15,pose,pose,VERB,
text2,4,16,immense,immense,ADJ,
text2,4,17,challenges,challenge,NOUN,
text2,4,18,as,as,SCONJ,
text2,4,19,scholars,scholar,NOUN,
text2,4,20,and,and,CCONJ,
text2,4,21,practitioners,practitioner,NOUN,
text2,4,22,seek,seek,VERB,
text2,4,23,to,to,PART,
text2,4,24,build,build,VERB,
text2,4,25,theoretically,theoretically,ADV,
text2,4,26,rigorous,rigorous,ADJ,
text2,4,27,and,and,CCONJ,
text2,4,28,practically,practically,ADV,
text2,4,29,useful,useful,ADJ,
text2,4,30,knowledge,knowledge,NOUN,
text2,4,31,concerning,concern,VERB,
text2,4,32,the,the,DET,
text2,4,33,sustainability,sustainability,NOUN,
text2,4,34,of,of,ADP,
text2,4,35,social,social,ADJ,
text2,4,36,-,-,PUNCT,
text2,4,37,ecological,ecological,ADJ,
text2,4,38,systems,system,NOUN,
text2,4,39,.,.,PUNCT,
text2,5,1,Therefore,therefore,ADV,
text2,5,2,we,we,PRON,
text2,5,3,present,present,VERB,
text2,5,4,a,a,DET,
text2,5,5,typology,typology,NOUN,
text2,5,6,which,which,PRON,
text2,5,7,defines,define,VERB,
text2,5,8,and,and,CCONJ,
text2,5,9,summarizes,summarize,VERB,
text2,5,10,the,the,DET,
text2,5,11,three,three,NUM,CARDINAL_B
text2,5,12,major,major,ADJ,
text2,5,13,types,type,NOUN,
text2,5,14,of,of,ADP,
text2,5,15,fit,fit,NOUN,
text2,5,16,and,and,CCONJ,
text2,5,17,can,can,AUX,
text2,5,18,be,be,AUX,
text2,5,19,used,use,VERB,
text2,5,20,to,to,PART,
text2,5,21,organize,organize,VERB,
text2,5,22,and,and,CCONJ,
text2,5,23,advance,advance,VERB,
text2,5,24,systematic,systematic,ADJ,
text2,5,25,theoretical,theoretical,ADJ,
text2,5,26,and,and,CCONJ,
text2,5,27,policy,policy,NOUN,
text2,5,28,relevant,relevant,ADJ,
text2,5,29,inquiry,inquiry,NOUN,
text2,5,30,.,.,PUNCT,
text3,1,1,We,we,PRON,
text3,1,2,present,present,VERB,
text3,1,3,an,an,DET,
text3,1,4,approach,approach,NOUN,
text3,1,5,to,to,PART,
text3,1,6,identify,identify,VERB,
text3,1,7,and,and,CCONJ,
text3,1,8,map,map,VERB,
text3,1,9,social,social,ADJ,
text3,1,10,-,-,PUNCT,
text3,1,11,ecological,ecological,ADJ,
text3,1,12,systems,system,NOUN,
text3,1,13,based,base,VERB,
text3,1,14,on,on,ADP,
text3,1,15,the,the,DET,
text3,1,16,direct,direct,ADJ,
text3,1,17,use,use,NOUN,
text3,1,18,of,of,ADP,
text3,1,19,ecosystem,ecosystem,NOUN,
text3,1,20,services,service,NOUN,
text3,1,21,by,by,ADP,
text3,1,22,households,household,NOUN,
text3,1,23,.,.,PUNCT,
text3,2,1,This,this,DET,
text3,2,2,approach,approach,NOUN,
text3,2,3,builds,build,VERB,
text3,2,4,on,on,ADP,
text3,2,5,the,the,DET,
text3,2,6,premise,premise,NOUN,
text3,2,7,that,that,SCONJ,
text3,2,8,characteristic,characteristic,ADJ,
text3,2,9,bundles,bundle,NOUN,
text3,2,10,of,of,ADP,
text3,2,11,ecosystem,ecosystem,NOUN,
text3,2,12,service,service,NOUN,
text3,2,13,use,use,NOUN,
text3,2,14,represent,represent,VERB,
text3,2,15,integrated,integrated,ADJ,
text3,2,16,expressions,expression,NOUN,
text3,2,17,of,of,ADP,
text3,2,18,different,different,ADJ,
text3,2,19,underlying,underlie,VERB,
text3,2,20,social,social,ADJ,
text3,2,21,-,-,PUNCT,
text3,2,22,ecological,ecological,ADJ,
text3,2,23,systems,system,NOUN,
text3,2,24,.,.,PUNCT,
text3,3,1,We,we,PRON,
text3,3,2,test,test,VERB,
text3,3,3,the,the,DET,
text3,3,4,approach,approach,NOUN,
text3,3,5,in,in,ADP,
text3,3,6,South,South,PROPN,GPE_B
text3,3,7,Africa,Africa,PROPN,GPE_I
text3,3,8,using,use,VERB,
text3,3,9,national,national,ADJ,
text3,3,10,census,census,NOUN,
text3,3,11,data,datum,NOUN,
text3,3,12,on,on,ADP,
text3,3,13,the,the,DET,
text3,3,14,direct,direct,ADJ,
text3,3,15,use,use,NOUN,
text3,3,16,of,of,ADP,
text3,3,17,six,six,NUM,CARDINAL_B
text3,3,18,provisioning,provisioning,NOUN,
text3,3,19,services,service,NOUN,
text3,3,20,(,(,PUNCT,
text3,3,21,freshwater,freshwater,NOUN,
text3,3,22,from,from,ADP,
text3,3,23,a,a,DET,
text3,3,24,natural,natural,ADJ,
text3,3,25,source,source,NOUN,
text3,3,26,",",",",PUNCT,
text3,3,27,firewood,firewood,NOUN,
text3,3,28,for,for,ADP,
text3,3,29,cooking,cooking,NOUN,
text3,3,30,",",",",PUNCT,
text3,3,31,firewood,firewood,NOUN,
text3,3,32,for,for,ADP,
text3,3,33,heating,heating,NOUN,
text3,3,34,",",",",PUNCT,
text3,3,35,natural,natural,ADJ,
text3,3,36,building,building,NOUN,
text3,3,37,materials,material,NOUN,
text3,3,38,",",",",PUNCT,
text3,3,39,animal,animal,NOUN,
text3,3,40,production,production,NOUN,
text3,3,41,",",",",PUNCT,
text3,3,42,and,and,CCONJ,
text3,3,43,crop,crop,NOUN,
text3,3,44,production,production,NOUN,
text3,3,45,),),PUNCT,
text3,3,46,at,at,ADP,
text3,3,47,two,two,NUM,CARDINAL_B
text3,3,48,different,different,ADJ,
text3,3,49,scales,scale,NOUN,
text3,3,50,.,.,PUNCT,
text3,4,1,Based,base,VERB,
text3,4,2,on,on,ADP,
text3,4,3,a,a,DET,
text3,4,4,cluster,cluster,NOUN,
text3,4,5,analysis,analysis,NOUN,
text3,4,6,",",",",PUNCT,
text3,4,7,we,we,PRON,
text3,4,8,identify,identify,VERB,
text3,4,9,three,three,NUM,CARDINAL_B
text3,4,10,distinct,distinct,ADJ,
text3,4,11,ecosystem,ecosystem,NOUN,
text3,4,12,service,service,NOUN,
text3,4,13,bundles,bundle,NOUN,
text3,4,14,that,that,PRON,
text3,4,15,represent,represent,VERB,
text3,4,16,social,social,ADJ,
text3,4,17,-,-,PUNCT,
text3,4,18,ecological,ecological,ADJ,
text3,4,19,systems,system,NOUN,
text3,4,20,characterized,characterize,VERB,
text3,4,21,by,by,ADP,
text3,4,22,low,low,ADJ,
text3,4,23,",",",",PUNCT,
text3,4,24,medium,medium,ADJ,
text3,4,25,and,and,CCONJ,
text3,4,26,high,high,ADJ,
text3,4,27,levels,level,NOUN,
text3,4,28,of,of,ADP,
text3,4,29,direct,direct,ADJ,
text3,4,30,ecosystem,ecosystem,NOUN,
text3,4,31,service,service,NOUN,
text3,4,32,use,use,NOUN,
text3,4,33,among,among,ADP,
text3,4,34,households,household,NOUN,
text3,4,35,.,.,PUNCT,
text3,5,1,We,we,PRON,
text3,5,2,argue,argue,VERB,
text3,5,3,that,that,SCONJ,
text3,5,4,these,these,DET,
text3,5,5,correspond,correspond,NOUN,
text3,5,6,to,to,ADP,
text3,5,7,`,`,PUNCT,
text3,5,8,green,green,ADJ,
text3,5,9,-,-,PUNCT,
text3,5,10,loop,loop,NOUN,
text3,5,11,',',PUNCT,
text3,5,12,",",",",PUNCT,
text3,5,13,`,`,PUNCT,
text3,5,14,transition,transition,NOUN,
text3,5,15,',',PUNCT,
text3,5,16,and,and,CCONJ,
text3,5,17,`,`,PUNCT,
text3,5,18,red,red,ADJ,
text3,5,19,-,-,PUNCT,
text3,5,20,loop,loop,NOUN,
text3,5,21,',',PUNCT,
text3,5,22,systems,system,NOUN,
text3,5,23,as,as,SCONJ,
text3,5,24,defined,define,VERB,
text3,5,25,by,by,ADP,
text3,5,26,Cumming,cumme,VERB,
text3,5,27,et,et,PROPN,
text3,5,28,al,al,PROPN,
text3,5,29,.,.,PUNCT,
text3,6,1,(,(,PUNCT,
text3,6,2,2014,2014,NUM,DATE_B
text3,6,3,),),PUNCT,
text3,6,4,.,.,PUNCT,
text3,7,1,When,when,SCONJ,
text3,7,2,mapped,map,VERB,
text3,7,3,",",",",PUNCT,
text3,7,4,these,these,DET,
text3,7,5,systems,system,NOUN,
text3,7,6,form,form,VERB,
text3,7,7,coherent,coherent,ADJ,
text3,7,8,spatial,spatial,ADJ,
text3,7,9,units,unit,NOUN,
text3,7,10,that,that,PRON,
text3,7,11,differ,differ,VERB,
text3,7,12,from,from,ADP,
text3,7,13,systems,system,NOUN,
text3,7,14,identified,identify,VERB,
text3,7,15,by,by,ADP,
text3,7,16,additive,additive,ADJ,
text3,7,17,combinations,combination,NOUN,
text3,7,18,of,of,ADP,
text3,7,19,separate,separate,ADJ,
text3,7,20,social,social,ADJ,
text3,7,21,and,and,CCONJ,
text3,7,22,biophysical,biophysical,ADJ,
text3,7,23,datasets,dataset,NOUN,
text3,7,24,",",",",PUNCT,
text3,7,25,the,the,DET,
text3,7,26,most,most,ADV,
text3,7,27,common,common,ADJ,
text3,7,28,method,method,NOUN,
text3,7,29,of,of,ADP,
text3,7,30,mapping,map,VERB,
text3,7,31,social,social,ADJ,
text3,7,32,-,-,PUNCT,
text3,7,33,ecological,ecological,ADJ,
text3,7,34,systems,system,NOUN,
text3,7,35,to,to,ADP,
text3,7,36,date,date,NOUN,
text3,7,37,.,.,PUNCT,
text3,8,1,The,the,DET,
text3,8,2,distribution,distribution,NOUN,
text3,8,3,of,of,ADP,
text3,8,4,the,the,DET,
text3,8,5,systems,system,NOUN,
text3,8,6,we,we,PRON,
text3,8,7,identified,identify,VERB,
text3,8,8,is,be,AUX,
text3,8,9,mainly,mainly,ADV,
text3,8,10,determined,determine,VERB,
text3,8,11,by,by,ADP,
text3,8,12,social,social,ADJ,
text3,8,13,factors,factor,NOUN,
text3,8,14,",",",",PUNCT,
text3,8,15,such,such,ADJ,
text3,8,16,as,as,ADP,
text3,8,17,household,household,NOUN,
text3,8,18,income,income,NOUN,
text3,8,19,",",",",PUNCT,
text3,8,20,gender,gender,NOUN,
text3,8,21,of,of,ADP,
text3,8,22,the,the,DET,
text3,8,23,household,household,NOUN,
text3,8,24,head,head,NOUN,
text3,8,25,",",",",PUNCT,
text3,8,26,and,and,CCONJ,
text3,8,27,land,land,NOUN,
text3,8,28,tenure,tenure,NOUN,
text3,8,29,",",",",PUNCT,
text3,8,30,and,and,CCONJ,
text3,8,31,only,only,ADV,
text3,8,32,partly,partly,ADV,
text3,8,33,determined,determine,VERB,
text3,8,34,by,by,ADP,
text3,8,35,the,the,DET,
text3,8,36,supply,supply,NOUN,
text3,8,37,of,of,ADP,
text3,8,38,natural,natural,ADJ,
text3,8,39,resources,resource,NOUN,
text3,8,40,.,.,PUNCT,
text3,9,1,An,an,DET,
text3,9,2,understanding,understanding,NOUN,
text3,9,3,of,of,ADP,
text3,9,4,the,the,DET,
text3,9,5,location,location,NOUN,
text3,9,6,and,and,CCONJ,
text3,9,7,characteristic,characteristic,ADJ,
text3,9,8,resource,resource,NOUN,
text3,9,9,use,use,NOUN,
text3,9,10,dynamics,dynamic,NOUN,
text3,9,11,of,of,ADP,
text3,9,12,different,different,ADJ,
text3,9,13,social,social,ADJ,
text3,9,14,-,-,PUNCT,
text3,9,15,ecological,ecological,ADJ,
text3,9,16,systems,system,NOUN,
text3,9,17,allows,allow,VERB,
text3,9,18,for,for,SCONJ,
text3,9,19,policies,policy,NOUN,
text3,9,20,to,to,PART,
text3,9,21,be,be,AUX,
text3,9,22,better,well,ADV,
text3,9,23,targeted,target,VERB,
text3,9,24,at,at,ADP,
text3,9,25,the,the,DET,
text3,9,26,particular,particular,ADJ,
text3,9,27,sustainability,sustainability,NOUN,
text3,9,28,challenges,challenge,NOUN,
text3,9,29,faced,face,VERB,
text3,9,30,in,in,ADP,
text3,9,31,different,different,ADJ,
text3,9,32,areas,area,NOUN,
text3,9,33,.,.,PUNCT,
text3,10,1,(,(,PUNCT,
text3,10,2,C,C,PROPN,
text3,10,3,),),PUNCT,
text3,10,4,2015,2015,NUM,DATE_B
text3,11,1,The,the,DET,
text3,11,2,Authors,Authors,PROPN,
text3,11,3,.,.,PUNCT,
text3,12,1,Published,publish,VERB,
text3,12,2,by,by,ADP,
text3,12,3,Elsevier,elsevi,ADJ,ORG_B
text3,12,4,Ltd.,Ltd.,PROPN,ORG_I
text4,1,1,Urbanization,urbanization,NOUN,
text4,1,2,is,be,AUX,
text4,1,3,essential,essential,ADJ,
text4,1,4,for,for,ADP,
text4,1,5,achieving,achieve,VERB,
text4,1,6,rapid,rapid,ADJ,
text4,1,7,development,development,NOUN,
text4,1,8,.,.,PUNCT,
text4,2,1,In,in,ADP,
text4,2,2,this,this,DET,
text4,2,3,process,process,NOUN,
text4,2,4,",",",",PUNCT,
text4,2,5,the,the,DET,
text4,2,6,labor,labor,NOUN,
text4,2,7,outmigration,outmigration,NOUN,
text4,2,8,from,from,ADP,
text4,2,9,rural,rural,ADJ,
text4,2,10,areas,area,NOUN,
text4,2,11,to,to,ADP,
text4,2,12,cities,city,NOUN,
text4,2,13,caused,cause,VERB,
text4,2,14,by,by,ADP,
text4,2,15,urbanization,urbanization,NOUN,
text4,2,16,has,have,AUX,
text4,2,17,diversified,diversify,VERB,
text4,2,18,the,the,DET,
text4,2,19,impacts,impact,NOUN,
text4,2,20,on,on,ADP,
text4,2,21,the,the,DET,
text4,2,22,robustness,robustness,NOUN,
text4,2,23,of,of,ADP,
text4,2,24,the,the,DET,
text4,2,25,rural,rural,ADJ,
text4,2,26,social,social,ADJ,
text4,2,27,-,-,PUNCT,
text4,2,28,ecological,ecological,ADJ,
text4,2,29,system,system,NOUN,
text4,2,30,.,.,PUNCT,
text4,3,1,However,however,ADV,
text4,3,2,",",",",PUNCT,
text4,3,3,existing,exist,VERB,
text4,3,4,research,research,NOUN,
text4,3,5,has,have,AUX,
text4,3,6,rarely,rarely,ADV,
text4,3,7,discussed,discuss,VERB,
text4,3,8,the,the,DET,
text4,3,9,internal,internal,ADJ,
text4,3,10,mechanism,mechanism,NOUN,
text4,3,11,of,of,ADP,
text4,3,12,the,the,DET,
text4,3,13,response,response,NOUN,
text4,3,14,of,of,ADP,
text4,3,15,the,the,DET,
text4,3,16,rural,rural,ADJ,
text4,3,17,social,social,ADJ,
text4,3,18,-,-,PUNCT,
text4,3,19,ecological,ecological,ADJ,
text4,3,20,system,system,NOUN,
text4,3,21,to,to,ADP,
text4,3,22,the,the,DET,
text4,3,23,impact,impact,NOUN,
text4,3,24,of,of,ADP,
text4,3,25,urbanization,urbanization,NOUN,
text4,3,26,.,.,PUNCT,
text4,4,1,Based,base,VERB,
text4,4,2,on,on,ADP,
text4,4,3,the,the,DET,
text4,4,4,coupled,coupled,ADJ,
text4,4,5,infrastructure,infrastructure,NOUN,
text4,4,6,systems,system,NOUN,
text4,4,7,framework,framework,NOUN,
text4,4,8,",",",",PUNCT,
text4,4,9,in,in,ADP,
text4,4,10,this,this,DET,
text4,4,11,paper,paper,NOUN,
text4,4,12,",",",",PUNCT,
text4,4,13,the,the,DET,
text4,4,14,internal,internal,ADJ,
text4,4,15,interactions,interaction,NOUN,
text4,4,16,of,of,ADP,
text4,4,17,the,the,DET,
text4,4,18,rural,rural,ADJ,
text4,4,19,social,social,ADJ,
text4,4,20,-,-,PUNCT,
text4,4,21,ecological,ecological,ADJ,
text4,4,22,system,system,NOUN,
text4,4,23,responding,respond,VERB,
text4,4,24,to,to,ADP,
text4,4,25,the,the,DET,
text4,4,26,impact,impact,NOUN,
text4,4,27,of,of,ADP,
text4,4,28,urbanization,urbanization,NOUN,
text4,4,29,are,be,AUX,
text4,4,30,discussed,discuss,VERB,
text4,4,31,.,.,PUNCT,
text4,5,1,An,an,DET,
text4,5,2,empirical,empirical,ADJ,
text4,5,3,test,test,NOUN,
text4,5,4,is,be,AUX,
text4,5,5,conducted,conduct,VERB,
text4,5,6,using,use,VERB,
text4,5,7,survey,survey,NOUN,
text4,5,8,data,datum,NOUN,
text4,5,9,from,from,ADP,
text4,5,10,123,123,NUM,CARDINAL_B
text4,5,11,villages,village,NOUN,
text4,5,12,of,of,ADP,
text4,5,13,14,14,NUM,CARDINAL_B
text4,5,14,Chinese,chinese,ADJ,NORP_B
text4,5,15,provinces,province,NOUN,
text4,5,16,.,.,PUNCT,
text4,6,1,Focusing,focus,VERB,
text4,6,2,on,on,ADP,
text4,6,3,the,the,DET,
text4,6,4,specific,specific,ADJ,
text4,6,5,practice,practice,NOUN,
text4,6,6,of,of,ADP,
text4,6,7,China,China,PROPN,GPE_B
text4,6,8,",",",",PUNCT,
text4,6,9,this,this,DET,
text4,6,10,paper,paper,NOUN,
text4,6,11,further,far,ADV,
text4,6,12,discusses,discuss,VERB,
text4,6,13,how,how,SCONJ,
text4,6,14,the,the,DET,
text4,6,15,robustness,robustness,NOUN,
text4,6,16,of,of,ADP,
text4,6,17,the,the,DET,
text4,6,18,rural,rural,ADJ,
text4,6,19,socialecological,socialecological,ADJ,
text4,6,20,system,system,NOUN,
text4,6,21,can,can,AUX,
text4,6,22,be,be,AUX,
text4,6,23,ensured,ensure,VERB,
text4,6,24,under,under,ADP,
text4,6,25,external,external,ADJ,
text4,6,26,impact,impact,NOUN,
text4,6,27,.,.,PUNCT,
text4,7,1,The,the,DET,
text4,7,2,main,main,ADJ,
text4,7,3,conclusions,conclusion,NOUN,
text4,7,4,are,be,AUX,
